År;Finanslov;Universitet;Total Omsætning;Uddannelsestilskud;Uddannelsestaxameter (Heltid);Uddannelsestaxameter (Deltid);Basistilskud;Tilskudsfinansieret forskning
2002.0;R;AU;4323470522.803114;1001557285.8731923;966407119.0211345;25806451.612903222;1408008898.7764182;997107897.6640711
2003.0;R;AU;4387096774.193548;997886540.6006674;967630700.7786429;20244716.351501666;1465183537.2636263;1037708565.0723025
2004.0;R;AU;4570300333.704116;1040823136.8186873;979532814.2380422;20133481.646273635;1507119021.134594;1073526140.1557286
2005.0;R;AU;4541379310.344827;1038153503.8932145;959288097.8865405;23470522.803114574;1526918798.6651835;1090211345.939933
2006.0;R;AU;4715461624.026696;1044827586.2068965;956729699.6662958;21023359.28809788;1520467185.761958;1102113459.3993325
2007.0;R;AU;5113590263.691684;1162271805.2738338;1044624746.4503042;21298174.44219067;1601419878.2961462;1343813387.4239352
2008.0;R;AU;5359026369.168358;1187626774.84787;1044624746.4503042;24340770.79107505;1682555780.933063;1422920892.494929
2009.0;R;AU;5761663286.004057;1268762677.484787;1096348884.3813388;22312373.225152127;1864097363.0831642;1460446247.464503
2010.0;R;AU;5883367139.959433;1331643002.0283976;1157200811.3590264;23326572.00811359;1863083164.3002028;1546653144.0162272
2011.0;R;AU;6056795131.845841;1424949290.060852;1226166328.6004057;23326572.00811359;2002028397.5659232;1530425963.4888437
2012.0;R;AU;6532163742.690059;1590643274.8538013;1431773879.1423004;21442495.126705654;1951267056.5302145;1622807017.5438597
2013.0;R;AU;6499025341.130605;1638401559.4541912;1499025341.1306043;21442495.126705654;1932748538.0116959;1642300194.9317741
2014.0;R;AU;6352826510.721249;1666666666.6666667;1519493177.3879144;22417153.996101364;1943469785.575049;1607212475.6335285
2015.0;R;AU;6364522417.153996;1644249512.6705654;1501949317.7387915;14619883.040935675;1940545808.9668617;1720272904.4834309
2016.0;R;AU;6694497153.70019;1816888045.5407968;1670777988.6148007;15180265.654648956;2011385199.2409866;1731499051.2333965
2017.0;R;AU;6745730550.284629;1791271347.2485769;1645161290.3225806;14231499.051233396;2041745730.5502846;1791271347.2485769
2018.0;R;AU;6663187855.787477;1726755218.2163188;1586337760.910816;12333965.844402278;2068311195.44592;1812144212.523719
2019.0;R;AU;6725806451.612904;1745730550.28463;1145161290.3225806;11385199.240986716;2034155597.72296;1891840607.2106261
2020.0;R;AU;6567362428.8425045;1745730550.28463;1148007590.1328273;9487666.034155598;2022770398.4819734;1833965844.402277
2002.0;R;AAU;1651056729.6996663;612569521.6907675;587096774.1935483;21690767.519466072;554616240.2669632;314460511.679644
2003.0;R;AAU;1632703003.3370411;602558398.2202448;585205784.2046719;13570634.037819799;602447163.5150167;260956618.46496102
2004.0;R;AAU;1720355951.0567296;617797552.8364849;585428253.6151278;12013348.164627364;608453837.5973303;295328142.38042265
2005.0;R;AAU;1723248053.3926585;617018909.8998888;575862068.9655172;12013348.164627364;610901001.1123471;296774193.54838705
2006.0;R;AAU;1730033370.4115684;623692992.2135706;574860956.618465;10789766.407119019;606896551.7241379;279866518.3537263
2007.0;R;AAU;1760649087.2210953;657200811.3590264;598377281.9472617;8113590.263691684;622718052.7383367;248478701.8255578
2008.0;R;AAU;1840770791.0750508;668356997.9716024;601419878.296146;9127789.046653146;663286004.0567951;264705882.35294116
2009.0;R;AAU;2046653144.0162272;708924949.2900609;617647058.8235294;8113590.263691684;735294117.6470588;333671399.59432054
2010.0;R;AAU;2132860040.5679512;760649087.2210953;658215010.1419878;9127789.046653146;744421906.693712;351926977.6876268
2011.0;R;AAU;2264705882.3529415;814401622.7180527;692697768.7626774;9127789.046653146;781947261.663286;401622718.05273837
2012.0;R;AAU;2417153996.1013646;884990253.411306;763157894.7368422;8771929.824561404;777777777.7777778;443469785.5750488
2013.0;R;AAU;2644249512.670565;989278752.4366472;884015594.5419103;9746588.693957115;800194931.7738792;554580896.68616
2014.0;R;AAU;2783625730.994152;1120857699.8050683;1003898635.4775829;9746588.693957115;809941520.4678363;586744639.3762184
2015.0;R;AAU;2878167641.3255363;1206627680.3118908;1054580896.6861598;10721247.563352827;813840155.9454192;591617933.7231969
2016.0;R;AAU;2938330170.7779884;1234345351.0436432;1101518026.565465;9487666.034155598;846299810.2466793;604364326.3757116
2017.0;R;AAU;2914611005.6925993;1224857685.0094876;1100569259.9620492;9487666.034155598;863377609.1081594;570208728.6527513
2018.0;R;AAU;2944971537.0018973;1212523719.1650853;1090132827.3244781;8538899.430740038;895635673.6242884;613851992.4098672
2019.0;R;AAU;2972485768.500949;1175521821.6318786;773244781.7836813;7590132.827324478;889943074.003795;648007590.1328273
2020.0;R;AAU;2928842504.7438326;1173624288.4250474;775142314.9905124;7590132.827324478;888045540.7969639;595825426.9449714
2002.0;R;CBS;841490545.0500555;362513904.3381535;323136818.68743044;31590656.284760844;277641824.2491657;71301446.05116795
2003.0;R;CBS;896106785.3170189;361067853.1701891;344827586.2068965;7452725.250278086;304449388.20912117;67630700.77864294
2004.0;R;CBS;898442714.1268076;390989988.87652946;362513904.3381535;8008898.776418242;302892102.3359288;53615127.91991101
2005.0;R;CBS;949276974.4160178;406006674.08231366;369855394.8832035;9010011.12347052;317130144.6051168;61512791.99110122
2006.0;R;CBS;1005228031.1457174;410233592.8809788;369187986.6518353;8342602.892102335;315127919.91101223;73414905.45050055
2007.0;R;CBS;1105476673.4279919;477687626.7748479;425963488.8438134;7099391.4807302235;293103448.2758621;86206896.55172414
2008.0;R;CBS;1127789046.6531441;467545638.9452333;407707910.7505071;8113590.263691684;306288032.4543611;103448275.86206897
2009.0;R;CBS;1215010141.9878297;522312373.2251521;446247464.50304264;7099391.4807302235;331643002.02839756;102434077.07910751
2010.0;R;CBS;1258620689.6551726;557809330.6288033;474645030.4259635;11156186.612576064;325557809.3306288;85192697.76876268
2011.0;R;CBS;1311359026.3691683;592292089.249493;495943204.86815417;9127789.046653146;340770791.0750507;86206896.55172414
2012.0;R;CBS;1268031189.0838206;601364522.4171541;513645224.17154;7797270.955165693;331384015.59454197;97465886.93957114
2013.0;R;CBS;1266081871.3450294;589668615.9844055;517543859.64912283;9746588.693957115;338206627.6803119;96491228.07017544
2014.0;R;CBS;1265107212.4756336;601364522.4171541;539961013.6452242;5847953.216374269;345029239.7660819;101364522.417154
2015.0;R;CBS;1326510721.2475634;627680311.8908381;556530214.4249513;6822612.085769981;369395711.5009747;111111111.11111112
2016.0;R;CBS;1394686907.0208728;673624288.4250474;608159392.7893738;8538899.430740038;375711574.9525617;123339658.44402276
2017.0;R;CBS;1354838709.6774192;650853889.943074;573055028.462998;8538899.430740038;358633776.09108156;124288425.04743832
2018.0;R;CBS;1355787476.280835;629032258.0645161;554079696.3946868;6641366.223908918;381404174.573055;125237191.65085389
2019.0;R;CBS;1404174573.0550282;619544592.0303605;401328273.2447818;5692599.620493358;447817836.8121442;130929791.27134725
2020.0;R;CBS;1399430740.0379508;626185958.2542694;405123339.65844405;4743833.017077799;457305502.8462998;126185958.25426945
2002.0;R;DTU;3485650723.0255837;457285873.19243604;447608453.83759725;5672969.966629588;1182424916.5739708;842714126.8075639
2003.0;R;DTU;3548609566.1846495;490322580.6451613;479866518.35372627;6340378.197997775;1166629588.4315906;818242491.657397
2004.0;R;DTU;3523359288.097886;518687430.4783092;496106785.31701887;6006674.082313682;1174638487.2080088;830700778.6429365
2005.0;R;DTU;3576640711.9021134;522135706.34037817;493993325.91768634;5784204.67185762;1240155728.5873194;886206896.5517242
2006.0;R;DTU;3681201334.816463;515016685.20578414;481646273.6373748;4226918.798665184;1210901001.112347;938820912.1245829
2007.0;R;DTU;3802231237.3225155;508113590.2636917;465517241.37931037;4056795.131845842;1322515212.9817445;1014198782.9614605
2008.0;R;DTU;3849898580.121704;488843813.38742393;437119675.4563895;5070993.914807303;1411764705.8823528;1052738336.7139959
2009.0;R;DTU;4033468559.837728;538539553.7525356;469574036.5111562;6085192.697768763;1527383367.1399596;1089249492.9006085
2010.0;R;DTU;4266734279.9188647;545638945.2332658;479716024.3407708;5070993.914807303;1550709939.1480732;1278904665.3144016
2011.0;R;DTU;4412778904.665315;561866125.7606491;492900608.51926976;5070993.914807303;1610547667.3427992;1368154158.2150102
2012.0;R;DTU;4751461988.304094;644249512.6705654;583820662.7680312;3898635.4775828463;1621832358.674464;1533138401.5594542
2013.0;R;DTU;4838206627.680312;653996101.3645225;626705653.0214425;1949317.7387914232;1607212475.6335285;1520467836.25731
2014.0;R;DTU;4988304093.567251;683235867.4463938;646198830.4093568;1949317.7387914232;1607212475.6335285;1665692007.797271
2015.0;R;DTU;5005847953.216374;692982456.1403509;644249512.6705654;3898635.4775828463;1600389863.5477583;1682261208.5769982
2016.0;R;DTU;5164136622.390892;777039848.1973435;736242884.2504743;2846299.810246679;1623339658.4440227;1763757115.7495255
2017.0;R;DTU;5295066413.662239;798861480.0759014;732447817.836812;3795066.413662239;1645161290.3225806;1853889943.0740037
2018.0;R;DTU;5237191650.853889;753320683.1119545;692599620.4933586;2846299.810246679;1642314990.5123339;1829222011.3851993
2019.0;R;DTU;5279886148.00759;788425047.4383302;526565464.8956356;2846299.810246679;1617647058.8235292;1823529411.764706
2020.0;R;DTU;5403225806.451612;810246679.3168881;540796963.946869;2846299.810246679;1622390891.8406072;1822580645.1612902
2002.0;R;ITU;133036707.45272523;42714126.80756396;37597330.36707452;5116796.440489433;67853170.18909898;12124582.869855395
2003.0;R;ITU;146384872.08008897;45161290.32258064;41601779.75528365;3559510.5672969962;78976640.71190211;9899888.765294772
2004.0;R;ITU;153837597.3303671;43604004.449388206;39377085.650723025;2780867.6307007787;87096774.19354838;11457174.638487209
2005.0;R;ITU;165628476.08453837;46718576.19577308;40489432.70300333;3559510.5672969962;87986651.83537263;17797552.836484984
2006.0;R;ITU;170300333.70411566;46273637.37486096;40378197.9977753;3114571.7463848717;88654060.06674083;18131256.952169076
2007.0;R;ITU;184584178.4989858;67951318.45841786;57809330.628803246;5070993.914807303;78093306.28803246;12170385.395537525
2008.0;R;ITU;189655172.41379312;65922920.89249493;53752535.49695741;6085192.697768763;81135902.63691685;17241379.31034483
2009.0;R;ITU;211967545.63894525;66937119.67545639;54766734.279918864;7099391.4807302235;97363083.1643002;22312373.225152127
2010.0;R;ITU;212981744.4219067;84178498.98580122;70993914.80730224;6085192.697768763;84178498.98580122;21298174.44219067
2011.0;R;ITU;233265720.08113593;103448275.86206897;91277890.46653144;5070993.914807303;89249492.90060851;19269776.87626775
2012.0;R;ITU;260233918.128655;121832358.67446394;110136452.2417154;3898635.4775828463;86744639.37621833;27290448.343079925
2013.0;R;ITU;271929824.5614035;137426900.58479533;123781676.41325536;3898635.4775828463;87719298.24561404;25341130.6042885
2014.0;R;ITU;269980506.8226121;130604288.49902536;118908382.06627682;2923976.6081871344;89668615.98440546;28265107.212475635
2015.0;R;ITU;289473684.21052635;133528265.10721248;119883040.93567252;2923976.6081871344;89668615.98440546;27290448.343079925
2016.0;R;ITU;281783681.2144212;139468690.70208728;128083491.46110058;2846299.810246679;99620493.35863377;22770398.481973432
2017.0;R;ITU;282732447.8178368;139468690.70208728;126185958.25426945;1897533.2068311195;98671726.75521822;24667931.688804556
2018.0;R;ITU;295066413.6622391;147058823.52941176;130929791.27134725;2846299.810246679;100569259.96204934;30360531.30929791
2019.0;R;ITU;335863377.60910815;149905123.33965844;101518026.5654649;1897533.2068311195;130929791.27134725;35104364.32637571
2020.0;R;ITU;323529411.76470584;160341555.9772296;110056925.99620493;1897533.2068311195;114800759.01328273;32258064.51612903
2002.0;R;KU;5842269187.986651;1539265850.945495;1493103448.275862;35261401.557285875;2711679644.0489435;1081757508.342603
2003.0;R;KU;5888654060.06674;1503225806.451613;1461067853.170189;30700778.642936595;2793882091.212458;1113236929.9221356
2004.0;R;KU;6115127919.911013;1526140155.7285872;1445494994.4382646;29810901.001112346;2907897664.07119;1125027808.676307
2005.0;R;KU;6044382647.385983;1554838709.6774192;1445272525.0278087;34705228.031145714;2949610678.5317016;1005228031.1457174
2006.0;R;KU;6546496106.785316;1569966629.5884316;1449165739.7107897;20467185.76195773;2991546162.4026694;1135595105.6729698
2007.0;R;KU;6950304259.634889;1648073022.3123732;1481744421.9066937;22312373.225152127;3087221095.334686;1195740365.111562
2008.0;R;KU;7233265720.081137;1663286004.0567954;1459432048.6815417;22312373.225152127;3106490872.2109537;1437119675.4563897
2009.0;R;KU;7531440162.271806;1731237322.515213;1494929006.0851927;22312373.225152127;3274847870.182556;1604462474.6450305
2010.0;R;KU;7887423935.091278;1815415821.5010142;1590263691.68357;25354969.574036513;3254563894.523327;1850912778.9046655
2011.0;R;KU;8045638945.233266;1833671399.5943205;1602434077.0791075;22312373.225152127;3335699797.1602435;2037525354.9695742
2012.0;R;KU;8307992202.729045;1821637426.900585;1635477582.846004;19493177.38791423;3389863547.7582846;2180311890.838207
2013.0;R;KU;8532163742.69006;1820662768.0311892;1681286549.7076025;18518518.51851852;3429824561.403509;2234892787.524367
2014.0;R;KU;8397660818.713451;1919103313.840156;1784600389.8635478;16569200.779727098;3407407407.4074073;2311890838.206628
2015.0;R;KU;8549707602.339182;1941520467.8362575;1779727095.5165694;15594541.910331385;3382066276.803119;2474658869.3957114
2016.0;R;KU;8722011385.199242;2099620493.3586338;1920303605.313093;16129032.258064516;3416508538.8994308;2470588235.2941175
2017.0;R;KU;8829222011.385199;1967741935.483871;1834914611.0056925;14231499.051233396;3444971537.0018973;2539848197.343454
2018.0;R;KU;8866223908.918406;1870018975.3320682;1757115749.5256166;14231499.051233396;3456356736.242884;2648007590.1328273
2019.0;R;KU;8917457305.502848;1891840607.2106261;1242884250.474383;11385199.240986716;3387096774.193548;2782732447.8178368
2020.0;R;KU;8805502846.29981;1907020872.8652751;1253320683.1119545;10436432.637571156;3237191650.85389;2838709677.4193544
2002.0;R;RUC;623692992.2135706;256395995.55061176;243492769.74416018;10344827.586206896;263070077.86429363;76863181.31256951
2003.0;R;RUC;630033370.4115684;251835372.63626248;240600667.40823138;8787541.713014461;275862068.9655172;84427141.26807564
2004.0;R;RUC;632925472.7474972;252836484.98331478;235817575.08342603;7341490.545050055;285317018.90989983;75639599.55506118
2005.0;R;RUC;647274749.7219132;264071190.21134594;243715239.15461624;7452725.250278086;276418242.4916574;56284760.845383756
2006.0;R;RUC;684093437.1523916;273637374.8609566;249276974.41601777;6785317.0189098995;272413793.1034483;88542825.36151278
2007.0;R;RUC;736308316.4300203;289046653.14401627;261663286.00405684;5070993.914807303;270791075.05070996;92292089.2494929
2008.0;R;RUC;747464503.0425963;292089249.49290067;255578093.30628806;6085192.697768763;268762677.48478705;105476673.4279919
2009.0;R;RUC;765720081.1359026;303245436.1054767;261663286.00405684;6085192.697768763;292089249.49290067;106490872.21095335
2010.0;R;RUC;801217038.5395538;331643002.02839756;288032454.3610548;7099391.4807302235;289046653.14401627;115618661.25760649
2011.0;R;RUC;783975659.229209;345841784.98985803;294117647.0588235;6085192.697768763;290060851.9269777;91277890.46653144
2012.0;R;RUC;795321637.4269006;346978557.50487334;296296296.2962963;6822612.085769981;287524366.47173494;99415204.67836258
2013.0;R;RUC;808966861.5984405;367446393.76218325;312865497.0760234;18518518.51851852;290448343.079922;88693957.11500975
2014.0;R;RUC;791423001.9493178;351851851.8518518;312865497.0760234;4873294.346978557;293372319.6881092;97465886.93957114
2015.0;R;RUC;782651072.1247565;348927875.24366474;305068226.1208577;7797270.955165693;295321637.4269006;97465886.93957114
2016.0;R;RUC;787476280.8349147;347248576.85009485;310246679.31688803;5692599.620493358;303605313.09297913;63567362.4288425
2017.0;R;RUC;803605313.0929792;345351043.6432637;314990512.33396584;3795066.413662239;329222011.3851992;65464895.63567363
2018.0;R;RUC;774193548.3870968;342504743.83301705;307400379.5066413;6641366.223908918;304554079.6963947;64516129.03225806
2019.0;R;RUC;754269449.71537;326375711.57495254;213472485.76850095;4743833.017077799;297912713.4724857;69259962.04933585
2020.0;R;RUC;757115749.5256168;325426944.971537;214421252.3719165;3795066.413662239;308349146.1100569;70208728.65275142
2002.0;R;SDU;1809343715.2391543;495995550.6117908;466740823.13681865;26028921.023359284;695328142.3804227;286429365.96218014
2003.0;R;SDU;1824916573.9710789;497107897.66407114;483092324.8053393;11123470.522803115;727919911.0122358;288542825.3615128
2004.0;R;SDU;1939043381.535039;516796440.4894327;489210233.59288096;10789766.407119019;758175750.8342602;335261401.5572858
2005.0;R;SDU;1961846496.1067853;527474972.1913237;490989988.8765294;10011123.470522802;762736373.7486095;333592880.9788654
2006.0;R;SDU;2090211345.9399328;546829810.9010011;504004449.38820916;8120133.481646272;760845383.759733;345050055.6173526
2007.0;R;SDU;2206896551.7241383;607505070.9939148;546653144.0162272;8113590.263691684;774847870.1825558;392494929.0060852
2008.0;R;SDU;2308316430.0202837;636916835.6997972;557809330.6288033;10141987.829614606;799188640.9736309;451318458.4178499
2009.0;R;SDU;2451318458.41785;639959432.0486816;553752535.4969574;11156186.612576064;883367139.959432;465517241.37931037
2010.0;R;SDU;2462474645.030426;672413793.1034483;585192697.7687627;13184584.178498987;879310344.8275863;513184584.178499
2011.0;R;SDU;2588235294.117647;738336713.9959432;628803245.4361055;14198782.961460447;956389452.3326572;497971602.4340771
2012.0;R;SDU;2813840155.9454193;863547758.2846005;760233918.128655;14619883.040935675;946393762.1832359;538986354.7758286
2013.0;R;SDU;2932748538.011696;948343079.9220273;858674463.937622;16569200.779727098;936647173.4892788;596491228.0701754
2014.0;R;SDU;2917153996.1013646;1015594541.9103315;917153996.1013646;13645224.171539962;932748538.011696;613060428.8499025
2015.0;R;SDU;3000000000.0;1093567251.4619884;968810916.1793373;11695906.432748538;932748538.011696;620857699.8050683
2016.0;R;SDU;3131878557.874763;1199240986.7172675;1108159392.7893736;13282732.447817836;965844402.2770398;613851992.4098672
2017.0;R;SDU;3197343453.510436;1218216318.7855787;1103415559.772296;13282732.447817836;971537001.8975332;642314990.5123339
2018.0;R;SDU;3166034155.597723;1199240986.7172675;1076850094.8766603;11385199.240986716;981973434.5351043;647058823.5294117
2019.0;R;SDU;3177419354.83871;1175521821.6318786;765654648.9563568;10436432.637571156;973434535.1043643;674573055.0284629
2020.0;R;SDU;3134724857.6850095;1173624288.4250474;760910815.939279;11385199.240986716;928842504.743833;709677419.3548386
